Year,NewSpecies
1758,27
1765,2
1767,1
1768,1
1770,2
1772,1
1775,13
1779,10
1781,2
1782,1
1783,1
1784,1
1788,13
1789,16
1790,2
1792,12
1793,2
1794,5
1798,1
1799,4
1800,6
1801,37
1802,10
1803,4
1804,18
1807,2
1809,3
1810,47
1812,1
1814,2
1815,7
1816,8
1817,10
1818,9
1819,4
1820,3
1821,2
1822,10
1823,10
1824,11
1825,8
1827,14
1828,8
1829,10
1830,5
1831,14
1832,6
1834,20
1835,5
1836,4
1837,13
1838,12
1839,14
1840,3
1841,101
1842,8
1843,14
1844,4
1846,13
1847,2
1848,8
1849,4
1850,4
1851,4
1852,27
1853,7
1854,24
1855,14
1856,6
1857,3
1858,13
1859,3
1860,7
1861,3
1862,2
1863,8
1864,11
1865,18
1866,5
1867,6
1868,7
1869,3
1870,16
1871,11
1872,5
1873,3
1874,2
1875,1
1876,4
1877,11
1878,7
1879,6
1880,27
1881,19
1882,8
1883,7
1884,9
1885,10
1886,11
1887,16
1888,8
1889,5
1890,1
1891,3
1892,15
1893,1
1894,1
1895,12
1896,8
1897,6
1898,10
1899,13
1900,4
1901,3
1902,14
1903,9
1904,16
1905,9
1906,24
1907,8
1908,23
1909,21
1910,10
1911,9
1912,20
1913,38
1914,5
1915,8
1916,7
1917,5
1919,2
1920,2
1921,5
1922,10
1923,18
1924,1
1925,8
1926,9
1927,6
1928,8
1929,6
1930,8
1931,10
1932,12
1933,5
1934,11
1935,12
1936,14
1937,7
1938,4
1939,26
1940,7
1941,4
1942,1
1943,7
1944,10
1945,3
1946,12
1947,2
1948,6
1949,3
1950,13
1951,11
1952,7
1953,10
1954,5
1955,5
1956,1
1957,9
1958,13
1959,13
1960,14
1961,7
1962,17
1963,9
1964,10
1965,5
1966,20
1967,13
1968,5
1969,3
1970,9
1971,3
1972,11
1973,5
1974,5
1975,7
1976,3
1977,11
1978,2
1979,12
1980,5
1981,10
1982,9
1983,20
1984,9
1985,23
1986,14
1987,21
1988,11
1989,4
1990,9
1991,3
1992,2
1993,5
1994,1
1995,6
1996,2
1997,5
1998,5
1999,11
2000,2
2001,6
2002,14
2003,8
2004,11
2005,14
2006,22
2007,25
2008,81
2009,4
2010,12
2011,18
2012,11
2013,13
2014,6
2015,10
2016,39
2017,19
2018,15
2019,10
2020,9
2021,1
,
,
